id,char,codepoint,pinyins_tone3,pinyins_display,script_type,gloss_en
63305,𨮈,U+28B88,𨮈,𨮈,neutral,
63306,𨮉,U+28B89,𨮉,𨮉,neutral,
63307,𨮊,U+28B8A,𨮊,𨮊,neutral,
63308,𨮋,U+28B8B,𨮋,𨮋,neutral,
63309,𨮌,U+28B8C,𨮌,𨮌,neutral,
63310,𨮍,U+28B8D,𨮍,𨮍,neutral,
63311,𨮎,U+28B8E,𨮎,𨮎,neutral,
63312,𨮏,U+28B8F,𨮏,𨮏,neutral,
63313,𨮐,U+28B90,𨮐,𨮐,neutral,
63314,𨮑,U+28B91,𨮑,𨮑,neutral,
63315,𨮒,U+28B92,meng4,mèng,neutral,
63316,𨮓,U+28B93,𨮓,𨮓,neutral,
63317,𨮔,U+28B94,yu4,yù,neutral,
63318,𨮕,U+28B95,𨮕,𨮕,neutral,
63319,𨮖,U+28B96,𨮖,𨮖,neutral,
63320,𨮗,U+28B97,𨮗,𨮗,neutral,
63321,𨮘,U+28B98,𨮘,𨮘,neutral,a fine grade of steel
63322,𨮙,U+28B99,𨮙,𨮙,neutral,
63323,𨮚,U+28B9A,𨮚,𨮚,neutral,
63324,𨮛,U+28B9B,𨮛,𨮛,neutral,
63325,𨮜,U+28B9C,𨮜,𨮜,neutral,
63326,𨮝,U+28B9D,𨮝,𨮝,neutral,
63327,𨮞,U+28B9E,𨮞,𨮞,neutral,
63328,𨮟,U+28B9F,𨮟,𨮟,neutral,
63329,𨮠,U+28BA0,𨮠,𨮠,neutral,
63330,𨮡,U+28BA1,𨮡,𨮡,neutral,
63331,𨮢,U+28BA2,𨮢,𨮢,neutral,
63332,𨮣,U+28BA3,𨮣,𨮣,neutral,
63333,𨮤,U+28BA4,𨮤,𨮤,neutral,
63334,𨮥,U+28BA5,𨮥,𨮥,neutral,
63335,𨮦,U+28BA6,𨮦,𨮦,neutral,
63336,𨮧,U+28BA7,𨮧,𨮧,neutral,
63337,𨮨,U+28BA8,𨮨,𨮨,neutral,
63338,𨮩,U+28BA9,𨮩,𨮩,neutral,
63339,𨮪,U+28BAA,xi3,xǐ,neutral,
63340,𨮫,U+28BAB,𨮫,𨮫,neutral,
63341,𨮬,U+28BAC,piao1,piāo,neutral,
63342,𨮭,U+28BAD,si1,sī,neutral,
63343,𨮮,U+28BAE,𨮮,𨮮,neutral,
63344,𨮯,U+28BAF,𨮯,𨮯,neutral,
63345,𨮰,U+28BB0,𨮰,𨮰,traditional,
63346,𨮱,U+28BB1,𨮱,𨮱,neutral,
63347,𨮲,U+28BB2,𨮲,𨮲,neutral,
63348,𨮳,U+28BB3,𨮳,𨮳,traditional,
63349,𨮴,U+28BB4,deng4,dèng,neutral,
63350,𨮵,U+28BB5,𨮵,𨮵,neutral,
63351,𨮶,U+28BB6,𨮶,𨮶,neutral,
63352,𨮷,U+28BB7,𨮷,𨮷,neutral,
63353,𨮸,U+28BB8,chuo1,chuō,neutral,
63354,𨮹,U+28BB9,di2,dí,neutral,
63355,𨮺,U+28BBA,ji1,jī,neutral,
63356,𨮻,U+28BBB,chan2,chán,neutral,
63357,𨮼,U+28BBC,𨮼,𨮼,neutral,
63358,𨮽,U+28BBD,𨮽,𨮽,neutral,
63359,𨮾,U+28BBE,𨮾,𨮾,neutral,
63360,𨮿,U+28BBF,zhuo2,zhuó,neutral,
63361,𨯀,U+28BC0,𨯀,𨯀,neutral,
63362,𨯁,U+28BC1,𨯁,𨯁,neutral,
63363,𨯂,U+28BC2,𨯂,𨯂,traditional,
63364,𨯃,U+28BC3,𨯃,𨯃,neutral,
63365,𨯄,U+28BC4,𨯄,𨯄,neutral,
63366,𨯅,U+28BC5,𨯅,𨯅,traditional,
63367,𨯆,U+28BC6,𨯆,𨯆,neutral,
63368,𨯇,U+28BC7,𨯇,𨯇,neutral,
63369,𨯈,U+28BC8,𨯈,𨯈,neutral,
63370,𨯉,U+28BC9,𨯉,𨯉,neutral,
63371,𨯊,U+28BCA,𨯊,𨯊,neutral,
63372,𨯋,U+28BCB,𨯋,𨯋,neutral,
63373,𨯌,U+28BCC,𨯌,𨯌,neutral,
63374,𨯍,U+28BCD,𨯍,𨯍,neutral,
63375,𨯎,U+28BCE,𨯎,𨯎,neutral,
63376,𨯏,U+28BCF,𨯏,𨯏,neutral,
63377,𨯐,U+28BD0,𨯐,𨯐,neutral,
63378,𨯑,U+28BD1,𨯑,𨯑,neutral,
63379,𨯒,U+28BD2,𨯒,𨯒,neutral,
63380,𨯓,U+28BD3,cai4,cài,neutral,
63381,𨯔,U+28BD4,𨯔,𨯔,neutral,
63382,𨯕,U+28BD5,𨯕,𨯕,neutral,
63383,𨯖,U+28BD6,𨯖,𨯖,neutral,
63384,𨯗,U+28BD7,𨯗,𨯗,traditional,
63385,𨯘,U+28BD8,𨯘,𨯘,neutral,
63386,𨯙,U+28BD9,𨯙,𨯙,traditional,
63387,𨯚,U+28BDA,𨯚,𨯚,neutral,
63388,𨯛,U+28BDB,𨯛,𨯛,neutral,
63389,𨯜,U+28BDC,𨯜,𨯜,neutral,
63390,𨯝,U+28BDD,𨯝,𨯝,neutral,
63391,𨯞,U+28BDE,jiang4,jiàng,neutral,
63392,𨯟,U+28BDF,𨯟,𨯟,traditional,
63393,𨯠,U+28BE0,𨯠,𨯠,neutral,
63394,𨯡,U+28BE1,𨯡,𨯡,neutral,
63395,𨯢,U+28BE2,𨯢,𨯢,neutral,
63396,𨯣,U+28BE3,𨯣,𨯣,neutral,
63397,𨯤,U+28BE4,𨯤,𨯤,neutral,
63398,𨯥,U+28BE5,𨯥,𨯥,neutral,
63399,𨯦,U+28BE6,𨯦,𨯦,neutral,
63400,𨯧,U+28BE7,𨯧,𨯧,neutral,
63401,𨯨,U+28BE8,𨯨,𨯨,neutral,
63402,𨯩,U+28BE9,𨯩,𨯩,neutral,
63403,𨯪,U+28BEA,𨯪,𨯪,neutral,
63404,𨯫,U+28BEB,𨯫,𨯫,neutral,
63405,𨯬,U+28BEC,𨯬,𨯬,neutral,
63406,𨯭,U+28BED,𨯭,𨯭,neutral,
63407,𨯮,U+28BEE,𨯮,𨯮,neutral,
63408,𨯯,U+28BEF,𨯯,𨯯,neutral,
63409,𨯰,U+28BF0,𨯰,𨯰,neutral,
63410,𨯱,U+28BF1,𨯱,𨯱,neutral,
63411,𨯲,U+28BF2,tou2,tóu,neutral,
63412,𨯳,U+28BF3,𨯳,𨯳,neutral,
63413,𨯴,U+28BF4,𨯴,𨯴,neutral,
63414,𨯵,U+28BF5,𨯵,𨯵,traditional,
63415,𨯶,U+28BF6,𨯶,𨯶,neutral,
63416,𨯷,U+28BF7,𨯷,𨯷,neutral,
63417,𨯸,U+28BF8,𨯸,𨯸,neutral,
63418,𨯹,U+28BF9,𨯹,𨯹,neutral,
63419,𨯺,U+28BFA,𨯺,𨯺,neutral,
63420,𨯻,U+28BFB,𨯻,𨯻,neutral,
63421,𨯼,U+28BFC,𨯼,𨯼,neutral,
63422,𨯽,U+28BFD,li2,lí,neutral,
63423,𨯾,U+28BFE,𨯾,𨯾,neutral,
63424,𨯿,U+28BFF,𨯿,𨯿,neutral,
63425,𨰀,U+28C00,𨰀,𨰀,neutral,
63426,𨰁,U+28C01,𨰁,𨰁,neutral,
63427,𨰂,U+28C02,qian4,qiàn,neutral,
63428,𨰃,U+28C03,𨰃,𨰃,traditional,
63429,𨰄,U+28C04,𨰄,𨰄,neutral,
63430,𨰅,U+28C05,𨰅,𨰅,neutral,
63431,𨰆,U+28C06,chuo1,chuō,neutral,
63432,𨰇,U+28C07,𨰇,𨰇,neutral,
63433,𨰈,U+28C08,𨰈,𨰈,neutral,
63434,𨰉,U+28C09,𨰉,𨰉,neutral,
63435,𨰊,U+28C0A,𨰊,𨰊,neutral,
63436,𨰋,U+28C0B,𨰋,𨰋,traditional,
63437,𨰌,U+28C0C,𨰌,𨰌,neutral,
63438,𨰍,U+28C0D,𨰍,𨰍,neutral,
63439,𨰎,U+28C0E,𨰎,𨰎,neutral,
63440,𨰏,U+28C0F,ta4,tà,neutral,
63441,𨰐,U+28C10,𨰐,𨰐,neutral,
63442,𨰑,U+28C11,diao4,diào,neutral,
63443,𨰒,U+28C12,𨰒,𨰒,neutral,
63444,𨰓,U+28C13,jian3,jiǎn,neutral,
63445,𨰔,U+28C14,𨰔,𨰔,neutral,
63446,𨰕,U+28C15,𨰕,𨰕,neutral,
63447,𨰖,U+28C16,𨰖,𨰖,neutral,
63448,𨰗,U+28C17,𨰗,𨰗,neutral,
63449,𨰘,U+28C18,𨰘,𨰘,traditional,
63450,𨰙,U+28C19,𨰙,𨰙,neutral,
63451,𨰚,U+28C1A,𨰚,𨰚,neutral,
63452,𨰛,U+28C1B,zhi3,zhǐ,neutral,
63453,𨰜,U+28C1C,jue2,jué,neutral,
63454,𨰝,U+28C1D,𨰝,𨰝,neutral,
63455,𨰞,U+28C1E,mo2,mó,neutral,
63456,𨰟,U+28C1F,𨰟,𨰟,neutral,
63457,𨰠,U+28C20,luo2,luó,traditional,
63458,𨰡,U+28C21,𨰡,𨰡,neutral,
63459,𨰢,U+28C22,𨰢,𨰢,neutral,
63460,𨰣,U+28C23,𨰣,𨰣,neutral,
63461,𨰤,U+28C24,𨰤,𨰤,neutral,
63462,𨰥,U+28C25,𨰥,𨰥,traditional,
63463,𨰦,U+28C26,bao3,bǎo,neutral,
63464,𨰧,U+28C27,𨰧,𨰧,neutral,
63465,𨰨,U+28C28,𨰨,𨰨,neutral,
63466,𨰩,U+28C29,𨰩,𨰩,neutral,
63467,𨰪,U+28C2A,𨰪,𨰪,neutral,
63468,𨰫,U+28C2B,𨰫,𨰫,neutral,
63469,𨰬,U+28C2C,𨰬,𨰬,neutral,
63470,𨰭,U+28C2D,zuan3,zuǎn,traditional,
63471,𨰮,U+28C2E,𨰮,𨰮,neutral,
63472,𨰯,U+28C2F,𨰯,𨰯,neutral,
63473,𨰰,U+28C30,𨰰,𨰰,neutral,
63474,𨰱,U+28C31,𨰱,𨰱,neutral,
63475,𨰲,U+28C32,𨰲,𨰲,traditional,
63476,𨰳,U+28C33,𨰳,𨰳,neutral,
63477,𨰴,U+28C34,𨰴,𨰴,neutral,
63478,𨰵,U+28C35,zhe1,zhē,traditional,
63479,𨰶,U+28C36,𨰶,𨰶,neutral,
63480,𨰷,U+28C37,𨰷,𨰷,traditional,
63481,𨰸,U+28C38,yu2,yú,neutral,
63482,𨰹,U+28C39,𨰹,𨰹,traditional,
63483,𨰺,U+28C3A,𨰺,𨰺,neutral,
63484,𨰻,U+28C3B,bao3,bǎo,neutral,
63485,𨰼,U+28C3C,𨰼,𨰼,neutral,
63486,𨰽,U+28C3D,𨰽,𨰽,neutral,
63487,𨰾,U+28C3E,ma3,mǎ,simplified,
63488,𨰿,U+28C3F,xi4,xì,simplified,
63489,𨱀,U+28C40,hu4,hù,simplified,
63490,𨱁,U+28C41,yi4,yì,simplified,
63491,𨱂,U+28C42,e2,é,simplified,
63492,𨱃,U+28C43,gu1,gū,simplified,
63493,𨱄,U+28C44,tu2,tú,simplified,
63494,𨱅,U+28C45,zhen1,zhēn,simplified,
63495,𨱆,U+28C46,𨱆,𨱆,simplified,
63496,𨱇,U+28C47,qiu2,qiú,simplified,chisel
63497,𨱈,U+28C48,su4,sù,simplified,
63498,𨱉,U+28C49,liang4,liàng,simplified,
63499,𨱊,U+28C4A,qu1,qū,simplified,
63500,𨱋,U+28C4B,ling2,líng,simplified,
63501,𨱌,U+28C4C,guan4,guàn,simplified,
63502,𨱍,U+28C4D,lang2,láng,simplified,large hammer
63503,𨱎,U+28C4E,tou1,tōu,simplified,brass
63504,𨱏,U+28C4F,da1,dā,simplified,"technetium (element 43, Tc)"
63505,𨱐,U+28C50,lou4,lòu,simplified,
63506,𨱑,U+28C51,huang2,huáng,simplified,bell
63507,𨱒,U+28C52,shou4,shòu,simplified,
63508,𨱓,U+28C53,jiao1,jiāo,simplified,
63509,𨱔,U+28C54,zun1,zūn,simplified,cap
63510,𨱕,U+28C55,gai3,gǎi,simplified,
63511,𨱖,U+28C56,wei2,wéi,simplified,hooks to hang; to suspend something
63512,𨱗,U+28C57,𨱗,𨱗,neutral,
63513,𨱘,U+28C58,𨱘,𨱘,neutral,
63514,𨱙,U+28C59,kun1,kūn,neutral,
63515,𨱚,U+28C5A,duan4,duàn,neutral,
63516,𨱛,U+28C5B,song1,sōng,neutral,
63517,𨱜,U+28C5C,qi2,qí,neutral,
63518,𨱝,U+28C5D,yang3,yǎng,neutral,
63519,𨱞,U+28C5E,𨱞,𨱞,neutral,
63520,𨱟,U+28C5F,𨱟,𨱟,neutral,
63521,𨱠,U+28C60,𨱠,𨱠,neutral,
63522,𨱡,U+28C61,shi4,shì,neutral,
63523,𨱢,U+28C62,𨱢,𨱢,neutral,
63524,𨱣,U+28C63,gai3,gǎi,neutral,
63525,𨱤,U+28C64,𨱤,𨱤,neutral,
63526,𨱥,U+28C65,𨱥,𨱥,traditional,
63527,𨱦,U+28C66,dao4,dào,neutral,
63528,𨱧,U+28C67,yao3|ao3,yǎo|ǎo,neutral,
63529,𨱨,U+28C68,𨱨,𨱨,neutral,
63530,𨱩,U+28C69,𨱩,𨱩,neutral,
63531,𨱪,U+28C6A,𨱪,𨱪,neutral,
63532,𨱫,U+28C6B,qian2,qián,neutral,
63533,𨱬,U+28C6C,𨱬,𨱬,neutral,
63534,𨱭,U+28C6D,shao1,shāo,neutral,
63535,𨱮,U+28C6E,chang2,cháng,neutral,
63536,𨱯,U+28C6F,miu3,miǔ,neutral,
63537,𨱰,U+28C70,𨱰,𨱰,neutral,
63538,𨱱,U+28C71,mo2,mó,neutral,
63539,𨱲,U+28C72,𨱲,𨱲,neutral,
63540,𨱳,U+28C73,𨱳,𨱳,neutral,
63541,𨱴,U+28C74,𨱴,𨱴,neutral,
63542,𨱵,U+28C75,nao3,nǎo,neutral,
63543,𨱶,U+28C76,𨱶,𨱶,neutral,
63544,𨱷,U+28C77,𨱷,𨱷,neutral,
63545,𨱸,U+28C78,cong1,cōng,neutral,
63546,𨱹,U+28C79,𨱹,𨱹,neutral,
63547,𨱺,U+28C7A,nie4,niè,neutral,
63548,𨱻,U+28C7B,zhao1,zhāo,neutral,
63549,𨱼,U+28C7C,cen2,cén,neutral,
63550,𨱽,U+28C7D,𨱽,𨱽,neutral,
63551,𨱾,U+28C7E,𨱾,𨱾,neutral,
63552,𨱿,U+28C7F,song1,sōng,neutral,
63553,𨲀,U+28C80,nie4,niè,neutral,
63554,𨲁,U+28C81,ci4,cì,neutral,
63555,𨲂,U+28C82,𨲂,𨲂,neutral,
63556,𨲃,U+28C83,𨲃,𨲃,neutral,
63557,𨲄,U+28C84,jun4,jùn,neutral,
63558,𨲅,U+28C85,𨲅,𨲅,neutral,
63559,𨲆,U+28C86,shao1,shāo,neutral,
63560,𨲇,U+28C87,𨲇,𨲇,neutral,
63561,𨲈,U+28C88,zhu2,zhú,neutral,
63562,𨲉,U+28C89,duo3|tuo3|sheng4,duǒ|tuǒ|shèng,neutral,
63563,𨲊,U+28C8A,an4,àn,neutral,
63564,𨲋,U+28C8B,bi1,bī,neutral,
63565,𨲌,U+28C8C,𨲌,𨲌,neutral,
63566,𨲍,U+28C8D,𨲍,𨲍,neutral,
63567,𨲎,U+28C8E,ti4,tì,neutral,
63568,𨲏,U+28C8F,𨲏,𨲏,neutral,
63569,𨲐,U+28C90,pi3,pǐ,neutral,
63570,𨲑,U+28C91,xia2,xiá,neutral,
63571,𨲒,U+28C92,qiu2,qiú,neutral,
63572,𨲓,U+28C93,sheng3,shěng,neutral,
63573,𨲔,U+28C94,𨲔,𨲔,neutral,
63574,𨲕,U+28C95,𨲕,𨲕,neutral,
63575,𨲖,U+28C96,𨲖,𨲖,neutral,
63576,𨲗,U+28C97,tang1,tāng,neutral,
63577,𨲘,U+28C98,𨲘,𨲘,neutral,
63578,𨲙,U+28C99,𨲙,𨲙,neutral,
63579,𨲚,U+28C9A,𨲚,𨲚,neutral,
63580,𨲛,U+28C9B,man2|mian2,mán|mián,neutral,
63581,𨲜,U+28C9C,pian1,piān,neutral,
63582,𨲝,U+28C9D,𨲝,𨲝,neutral,
63583,𨲞,U+28C9E,ti4,tì,neutral,
63584,𨲟,U+28C9F,rong2,róng,neutral,
63585,𨲠,U+28CA0,𨲠,𨲠,neutral,
63586,𨲡,U+28CA1,𨲡,𨲡,neutral,
63587,𨲢,U+28CA2,𨲢,𨲢,neutral,
63588,𨲣,U+28CA3,𨲣,𨲣,neutral,
63589,𨲤,U+28CA4,𨲤,𨲤,neutral,
63590,𨲥,U+28CA5,𨲥,𨲥,neutral,
63591,𨲦,U+28CA6,𨲦,𨲦,neutral,
63592,𨲧,U+28CA7,cong1,cōng,neutral,
63593,𨲨,U+28CA8,𨲨,𨲨,neutral,
63594,𨲩,U+28CA9,𨲩,𨲩,neutral,
63595,𨲪,U+28CAA,ji1,jī,neutral,
63596,𨲫,U+28CAB,feng2,féng,neutral,
63597,𨲬,U+28CAC,wu4,wù,neutral,
63598,𨲭,U+28CAD,jiao4,jiào,traditional,
63599,𨲮,U+28CAE,lao2,láo,neutral,
63600,𨲯,U+28CAF,zeng1,zēng,neutral,
63601,𨲰,U+28CB0,peng2,péng,neutral,
63602,𨲱,U+28CB1,can3,cǎn,neutral,
63603,𨲲,U+28CB2,𨲲,𨲲,neutral,
63604,𨲳,U+28CB3,nong2,nóng,traditional,
63605,𨲴,U+28CB4,𨲴,𨲴,neutral,
63606,𨲵,U+28CB5,chan3,chǎn,neutral,
63607,𨲶,U+28CB6,𨲶,𨲶,neutral,
63608,𨲷,U+28CB7,𨲷,𨲷,neutral,
63609,𨲸,U+28CB8,𨲸,𨲸,neutral,
63610,𨲹,U+28CB9,𨲹,𨲹,neutral,
63611,𨲺,U+28CBA,𨲺,𨲺,neutral,
63612,𨲻,U+28CBB,𨲻,𨲻,neutral,
63613,𨲼,U+28CBC,𨲼,𨲼,neutral,
63614,𨲽,U+28CBD,𨲽,𨲽,neutral,
63615,𨲾,U+28CBE,man2|mian2,mán|mián,neutral,
63616,𨲿,U+28CBF,gui4,guì,neutral,
63617,𨳀,U+28CC0,niao4,niào,neutral,
63618,𨳁,U+28CC1,chong1,chōng,neutral,
63619,𨳂,U+28CC2,chan4,chàn,neutral,
63620,𨳃,U+28CC3,𨳃,𨳃,neutral,
63621,𨳄,U+28CC4,𨳄,𨳄,neutral,
63622,𨳅,U+28CC5,𨳅,𨳅,neutral,
63623,𨳆,U+28CC6,nang4,nàng,neutral,
63624,𨳇,U+28CC7,𨳇,𨳇,neutral,
63625,𨳈,U+28CC8,𨳈,𨳈,neutral,
63626,𨳉,U+28CC9,xia1,xiā,neutral,
63627,𨳊,U+28CCA,jiu1,jiū,neutral,(Cant.) penis (vulg.)
63628,𨳋,U+28CCB,ji3,jǐ,neutral,
63629,𨳌,U+28CCC,zhen4,zhèn,traditional,
63630,𨳍,U+28CCD,𨳍,𨳍,neutral,(Cant.) penis (vulg.)
63631,𨳎,U+28CCE,𨳎,𨳎,neutral,
63632,𨳏,U+28CCF,𨳏,𨳏,neutral,
63633,𨳐,U+28CD0,𨳐,𨳐,traditional,
63634,𨳑,U+28CD1,ting3,tǐng,traditional,
63635,𨳒,U+28CD2,𨳒,𨳒,traditional,(Cant.) sexual intercourse (vulg.)
63636,𨳓,U+28CD3,𨳓,𨳓,neutral,
63637,𨳔,U+28CD4,men2,mén,neutral,
63638,𨳕,U+28CD5,yue4,yuè,traditional,
63639,𨳖,U+28CD6,𨳖,𨳖,neutral,
63640,𨳗,U+28CD7,zhong1,zhōng,neutral,
63641,𨳘,U+28CD8,tun2,tún,neutral,
63642,𨳙,U+28CD9,rui4,ruì,traditional,
63643,𨳚,U+28CDA,xie4|fen1,xiè|fēn,traditional,
63644,𨳛,U+28CDB,xi1,xī,neutral,
63645,𨳜,U+28CDC,𨳜,𨳜,neutral,
63646,𨳝,U+28CDD,ting3|run4,tǐng|rùn,neutral,
63647,𨳞,U+28CDE,niu3,niǔ,neutral,
63648,𨳟,U+28CDF,𨳟,𨳟,neutral,
63649,𨳠,U+28CE0,wang3,wǎng,neutral,
63650,𨳡,U+28CE1,jian1|guan1,jiān|guān,neutral,
63651,𨳢,U+28CE2,𨳢,𨳢,neutral,
63652,𨳣,U+28CE3,fen1,fēn,neutral,
63653,𨳤,U+28CE4,𨳤,𨳤,neutral,
63654,𨳥,U+28CE5,𨳥,𨳥,neutral,
63655,𨳦,U+28CE6,𨳦,𨳦,neutral,
63656,𨳧,U+28CE7,𨳧,𨳧,neutral,
63657,𨳨,U+28CE8,𨳨,𨳨,traditional,
63658,𨳩,U+28CE9,𨳩,𨳩,neutral,
63659,𨳪,U+28CEA,𨳪,𨳪,neutral,
63660,𨳫,U+28CEB,𨳫,𨳫,neutral,
63661,𨳬,U+28CEC,𨳬,𨳬,neutral,
63662,𨳭,U+28CED,𨳭,𨳭,neutral,
63663,𨳮,U+28CEE,𨳮,𨳮,neutral,
63664,𨳯,U+28CEF,𨳯,𨳯,neutral,
63665,𨳰,U+28CF0,𨳰,𨳰,neutral,
63666,𨳱,U+28CF1,𨳱,𨳱,neutral,
63667,𨳲,U+28CF2,bian4|bi4,biàn|bì,neutral,
63668,𨳳,U+28CF3,𨳳,𨳳,neutral,
63669,𨳴,U+28CF4,𨳴,𨳴,neutral,
63670,𨳵,U+28CF5,𨳵,𨳵,neutral,
63671,𨳶,U+28CF6,𨳶,𨳶,neutral,
63672,𨳷,U+28CF7,yi2,yí,neutral,
63673,𨳸,U+28CF8,𨳸,𨳸,traditional,
63674,𨳹,U+28CF9,𨳹,𨳹,neutral,
63675,𨳺,U+28CFA,die2,dié,neutral,
63676,𨳻,U+28CFB,ji1,jī,neutral,
63677,𨳼,U+28CFC,gan3,gǎn,neutral,
63678,𨳽,U+28CFD,𨳽,𨳽,neutral,
63679,𨳾,U+28CFE,𨳾,𨳾,neutral,
63680,𨳿,U+28CFF,jian1|xi4|ma3,jiān|xì|mǎ,traditional,
63681,𨴀,U+28D00,jiong1,jiōng,neutral,
63682,𨴁,U+28D01,𨴁,𨴁,neutral,
63683,𨴂,U+28D02,𨴂,𨴂,neutral,
63684,𨴃,U+28D03,𨴃,𨴃,neutral,
63685,𨴄,U+28D04,𨴄,𨴄,neutral,
63686,𨴅,U+28D05,𨴅,𨴅,neutral,
63687,𨴆,U+28D06,kai1,kāi,neutral,
63688,𨴇,U+28D07,𨴇,𨴇,neutral,
63689,𨴈,U+28D08,𨴈,𨴈,neutral,
63690,𨴉,U+28D09,𨴉,𨴉,neutral,
63691,𨴊,U+28D0A,que4|guan1,què|guān,neutral,
63692,𨴋,U+28D0B,𨴋,𨴋,neutral,
63693,𨴌,U+28D0C,nan2,nán,neutral,
63694,𨴍,U+28D0D,mou2,móu,neutral,
63695,𨴎,U+28D0E,xu4,xù,neutral,
63696,𨴏,U+28D0F,song3,sǒng,neutral,
63697,𨴐,U+28D10,shen4,shèn,neutral,
63698,𨴑,U+28D11,kuang1,kuāng,traditional,the frame of a door or window fixed in a wall
63699,𨴒,U+28D12,que4,què,neutral,
63700,𨴓,U+28D13,wei2,wéi,neutral,
63701,𨴔,U+28D14,𨴔,𨴔,neutral,
63702,𨴕,U+28D15,𨴕,𨴕,neutral,
63703,𨴖,U+28D16,𨴖,𨴖,neutral,
63704,𨴗,U+28D17,die2,dié,traditional,
63705,𨴘,U+28D18,nan2,nán,neutral,
63706,𨴙,U+28D19,𨴙,𨴙,neutral,
63707,𨴚,U+28D1A,ruo4,ruò,neutral,
63708,𨴛,U+28D1B,gong1,gōng,neutral,
63709,𨴜,U+28D1C,dou4|you4,dòu|yòu,neutral,
63710,𨴝,U+28D1D,𨴝,𨴝,neutral,
63711,𨴞,U+28D1E,nian3,niǎn,neutral,
63712,𨴟,U+28D1F,𨴟,𨴟,neutral,
63713,𨴠,U+28D20,𨴠,𨴠,neutral,
63714,𨴡,U+28D21,chao1,chāo,neutral,
63715,𨴢,U+28D22,he2,hé,neutral,
63716,𨴣,U+28D23,yan4,yàn,neutral,
63717,𨴤,U+28D24,𨴤,𨴤,traditional,
63718,𨴥,U+28D25,𨴥,𨴥,neutral,
63719,𨴦,U+28D26,𨴦,𨴦,neutral,
63720,𨴧,U+28D27,𨴧,𨴧,neutral,
63721,𨴨,U+28D28,𨴨,𨴨,neutral,
63722,𨴩,U+28D29,tu2,tú,neutral,
63723,𨴪,U+28D2A,bu3,bǔ,neutral,
63724,𨴫,U+28D2B,𨴫,𨴫,neutral,
63725,𨴬,U+28D2C,hu2,hú,neutral,
63726,𨴭,U+28D2D,yong3,yǒng,neutral,
63727,𨴮,U+28D2E,𨴮,𨴮,neutral,
63728,𨴯,U+28D2F,shi3,shǐ,neutral,
63729,𨴰,U+28D30,chu4,chù,neutral,
63730,𨴱,U+28D31,𨴱,𨴱,neutral,
63731,𨴲,U+28D32,𨴲,𨴲,neutral,
63732,𨴳,U+28D33,𨴳,𨴳,neutral,
63733,𨴴,U+28D34,𨴴,𨴴,neutral,
63734,𨴵,U+28D35,𨴵,𨴵,neutral,
63735,𨴶,U+28D36,𨴶,𨴶,neutral,
63736,𨴷,U+28D37,𨴷,𨴷,neutral,
63737,𨴸,U+28D38,𨴸,𨴸,neutral,
63738,𨴹,U+28D39,xiao1,xiāo,traditional,
63739,𨴺,U+28D3A,men2,mén,neutral,
63740,𨴻,U+28D3B,li3,lǐ,neutral,
63741,𨴼,U+28D3C,ti2,tí,neutral,
63742,𨴽,U+28D3D,𨴽,𨴽,neutral,
63743,𨴾,U+28D3E,jian1,jiān,neutral,
63744,𨴿,U+28D3F,𨴿,𨴿,neutral,
63745,𨵀,U+28D40,𨵀,𨵀,neutral,
63746,𨵁,U+28D41,𨵁,𨵁,neutral,
63747,𨵂,U+28D42,zhi3,zhǐ,neutral,
63748,𨵃,U+28D43,gua1|fu3|yue4,guā|fǔ|yuè,neutral,
63749,𨵄,U+28D44,guan3,guǎn,neutral,
63750,𨵅,U+28D45,𨵅,𨵅,neutral,
63751,𨵆,U+28D46,qi4,qì,traditional,
63752,𨵇,U+28D47,𨵇,𨵇,neutral,
63753,𨵈,U+28D48,fei1,fēi,neutral,
63754,𨵉,U+28D49,yu3,yǔ,neutral,
63755,𨵊,U+28D4A,zhe2,zhé,neutral,
63756,𨵋,U+28D4B,wei3,wěi,neutral,
63757,𨵌,U+28D4C,e3,ě,traditional,
63758,𨵍,U+28D4D,chan1,chān,neutral,
63759,𨵎,U+28D4E,xi1|qi2,xī|qí,neutral,
63760,𨵏,U+28D4F,𨵏,𨵏,neutral,
63761,𨵐,U+28D50,gu3,gǔ,neutral,
63762,𨵑,U+28D51,𨵑,𨵑,neutral,
63763,𨵒,U+28D52,𨵒,𨵒,neutral,
63764,𨵓,U+28D53,𨵓,𨵓,neutral,
63765,𨵔,U+28D54,𨵔,𨵔,neutral,
63766,𨵕,U+28D55,𨵕,𨵕,neutral,
63767,𨵖,U+28D56,𨵖,𨵖,neutral,
63768,𨵗,U+28D57,que4,què,traditional,
63769,𨵘,U+28D58,hui4,huì,neutral,
63770,𨵙,U+28D59,𨵙,𨵙,neutral,
63771,𨵚,U+28D5A,xie2,xié,neutral,
63772,𨵛,U+28D5B,ying1,yīng,neutral,
63773,𨵜,U+28D5C,𨵜,𨵜,neutral,
63774,𨵝,U+28D5D,ta4,tà,neutral,
63775,𨵞,U+28D5E,wai1,wāi,neutral,
63776,𨵟,U+28D5F,fu2,fú,neutral,
63777,𨵠,U+28D60,jie4,jiè,neutral,
63778,𨵡,U+28D61,pi4,pì,neutral,
63779,𨵢,U+28D62,𨵢,𨵢,neutral,
63780,𨵣,U+28D63,𨵣,𨵣,neutral,
