id,char,codepoint,pinyins,script_type,variants,gloss_en,examples,hsk_level
15888,谏,U+8C0F,jiàn,simplified,諫,surname Jian,劝谏|几谏|从谏如流,
15889,谐,U+8C10,xié,simplified,諧,(bound form) harmonious,元音和谐|和谐|和谐性,6
15890,谑,U+8C11,xuè,simplified,謔,joy,嘲谑|戏谑|调谑,
15891,谒,U+8C12,yè,simplified,謁,to visit (a superior),参谒|叩谒|干谒,
15892,谓,U+8C13,wèi(170),simplified,謂,surname Wei,一之谓甚|不知所谓|不谓,4
15893,谔,U+8C14,è,simplified,諤,honest speech,薛定谔|薛定谔方程,
15894,谕,U+8C15,yù,simplified,諭,order (from above),上谕|告谕|晓谕,
15895,谖,U+8C16,xuān,simplified,諼,to deceive,,
15896,谗,U+8C17,chán,simplified,讒,to slander,谗佞|谗害|谗言,
15897,谘,U+8C18,zī,simplified,諮,variant of 咨[zi1],谘询,
15898,谙,U+8C19,ān,simplified,諳,to be versed in,不谙世故|不谙水性|深谙,
15899,谚,U+8C1A,yàn,simplified,諺,proverb,俗谚|俗谚口碑|俚谚,
15900,谛,U+8C1B,dì,simplified,諦,to examine,四圣谛|四谛|审谛,
15901,谜,U+8C1C,mí|mèi,simplified,謎,"see 謎兒|谜儿[mei4 r5], riddle",哑谜|字谜|打哑谜,7-9
15902,谝,U+8C1D,piǎn,simplified,諞,to brag,,
15903,谞,U+8C1E,xū,simplified,諝,(literary) ability and wisdom,,
15904,谟,U+8C1F,mó,simplified,謨,plan,休谟|德谟克拉西|忽鲁谟斯,
15905,谠,U+8C20,dǎng,simplified,讜,honest,,
15906,谡,U+8C21,sù,simplified,謖,composed,,
15907,谢,U+8C22,xiè(192)|xie(97),simplified,謝,surname Xie,不用谢|不谢|代谢,1
15908,谣,U+8C23,yáo(19),simplified,謠|謡,popular ballad,传谣|大谣|歌谣,7-9
15909,谤,U+8C24,bàng,simplified,謗,to slander,毁谤|诽谤,7-9
15910,谥,U+8C25,shì,simplified,謚,(bound form) posthumous name or title,谥号|追谥,
15911,谦,U+8C26,qiān(26),simplified,謙,modest,囊谦|囊谦县|满招损，谦受益,6
15912,谧,U+8C27,mì,simplified,謐,(literary) quiet; peaceful; tranquil,安谧|恬谧|静谧,
15913,谨,U+8C28,jǐn(20),simplified,謹,cautious,勤谨|严谨|小心谨慎,7-9
15914,谩,U+8C29,màn,simplified,謾,to deceive,谩骂,
15915,谪,U+8C2A,zhé,simplified,謫,to relegate a high official to a minor post in an outlying region (punishment in imperial China),指谪|谪仙|谪居,
15916,谫,U+8C2B,jiǎn,simplified,謭|譾,shallow,,
15917,谬,U+8C2C,miù(26),simplified,謬,(bound form) false; erroneous; absurd,乖谬|失之毫厘，谬以千里|差之毫厘，谬以千里,7-9
15918,谭,U+8C2D,tán,simplified,譚,surname Tan,天方夜谭|谭嗣同|谭富英,
15919,谮,U+8C2E,zèn,simplified,譖,to slander,谮言,
15920,谯,U+8C2F,qiáo,simplified,譙,surname Qiao,南谯|南谯区|谯城,
15921,谰,U+8C30,lán,simplified,讕,to make a false charge,谰言|谰调,
15922,谱,U+8C31,pǔ,simplified,譜,chart,五线谱|光谱|光谱仪,7-9
15923,谲,U+8C32,jué,simplified,譎,deceitful,奇谲|诡谲,
15924,谳,U+8C33,yàn,simplified,讞,to decide judicially,定谳,
15925,谴,U+8C34,qiǎn(13),simplified,譴,to censure,呵谴|天谴|自谴,7-9
15926,谵,U+8C35,zhān,simplified,譫,(literary) to rant; to rave; to be delirious,谵妄,
15927,谶,U+8C36,chèn,simplified,讖,(literary) prophecy; omen,一语成谶|谶纬|谶语,
15928,谷,U+8C37,gǔ(145)|lù|yù,neutral,穀,grain,五谷|五谷丰登|低谷,6
15929,谸,U+8C38,qiān,neutral,,,,
15930,谹,U+8C39,hóng,neutral,,,,
15931,谺,U+8C3A,xiā,neutral,,,,
15932,谻,U+8C3B,jí,neutral,,,,
15933,谼,U+8C3C,hóng,neutral,,,,
15934,谽,U+8C3D,hān,neutral,,a mouth or opening,,
15935,谾,U+8C3E,hōng|lóng,neutral,,,,
15936,谿,U+8C3F,xī|jī,neutral,,variant of 溪[xi1],婦姑勃谿,
15937,豀,U+8C40,xī,neutral,,,,
15938,豁,U+8C41,huō(37)|huá,neutral,,to play Chinese finger-guessing game,哦豁|外交豁免權|外交豁免权,7-9
15939,豂,U+8C42,liáo,neutral,,,,
15940,豃,U+8C43,hǎn|gǎn,neutral,,,,
15941,豄,U+8C44,dú,traditional,𰶔,,,
15942,豅,U+8C45,lóng|lòng,traditional,𰶑,long and wide valley,,
15943,豆,U+8C46,dòu(127),neutral,,"legume; pulse; bean; pea (CL:顆|颗[ke1],粒[li4]) (variant of 豆[dou4])",乾煸四季豆|干煸四季豆|乾煸土豆絲,4
15944,豇,U+8C47,jiāng,neutral,,cowpeas,豇豆,
15945,豈,U+8C48,qǐ(51)|kǎi,traditional,岂,old variant of 愷|恺[kai3],豈不|豈敢|豈料,7-9
15946,豉,U+8C49,chǐ|shì,neutral,,salted fermented beans,蠔豉|蚝豉|豆豉,
15947,豊,U+8C4A,lǐ|fēng,neutral,,variant of 豐|丰[feng1],,
15948,豋,U+8C4B,dēng,neutral,,ceremonial vessel,,
15949,豌,U+8C4C,wān(9),neutral,,used in 豌豆[wan1 dou4],豌豆|豌豆尖|豌豆粥,
15950,豍,U+8C4D,bī|biǎn,neutral,,pea (Pisum sativum),,
15951,豎,U+8C4E,shù(30),traditional,竖,to erect,橫七豎八|橫三豎四|橫挑鼻子豎挑眼,7-9
15952,豏,U+8C4F,xiàn,neutral,,half-grown beans,,
15953,豐,U+8C50,fēng,traditional,丰,surname Feng,五穀豐登|人壽年豐|信豐,3
15954,豑,U+8C51,zhì,neutral,,old variant of 秩[zhi4],,
15955,豒,U+8C52,zhì,neutral,,,,
15956,豓,U+8C53,yàn,neutral,,old variant of 豔|艳[yan4],,
15957,豔,U+8C54,yàn,neutral,,bright; fresh and attractive; glamorous,哀豔|嬌豔|豔陽天,
15958,豕,U+8C55,shǐ,neutral,,hog,狼奔豕突|豕豞|野豕,
15959,豖,U+8C56,chù,neutral,,a shackled pig,,
15960,豗,U+8C57,huī,neutral,,clash,,
15961,豘,U+8C58,tún,neutral,,,,
15962,豙,U+8C59,yì,neutral,,,,
15963,豚,U+8C5A,tún|dūn|dùn,neutral,,suckling pig,土豚|寬吻海豚|宽吻海豚,
15964,豛,U+8C5B,yì,neutral,,,,
15965,豜,U+8C5C,jiān,neutral,,fully grown pig,,
15966,豝,U+8C5D,bā,neutral,,corned beef,,
15967,豞,U+8C5E,hòu,neutral,,grunting of pigs,豕豞,
15968,豟,U+8C5F,è,neutral,,,,
15969,豠,U+8C60,chú,neutral,,,,
15970,象,U+8C61,xiàng(3043),neutral,,elephant,不象話|不象话|世界氣象組織,3
15971,豢,U+8C62,huàn,neutral,,to rear,芻豢|刍豢|豢圉,
15972,豣,U+8C63,jiān|yàn,neutral,,variant of 豜[jian1],,
15973,豤,U+8C64,kěn|kūn,neutral,,,,
15974,豥,U+8C65,gāi,neutral,,,,
15975,豦,U+8C66,jù,neutral,,a wild boar,,
15976,豧,U+8C67,fū|fù|pū,neutral,,,,
15977,豨,U+8C68,xī,neutral,,swine,豨薟|豨莶,
15978,豩,U+8C69,bīn|huān,neutral,,,,
15979,豪,U+8C6A,háo(35),neutral,,grand,伍德豪斯|億萬富豪|亿万富豪,5
15980,豫,U+8C6B,yù(39)|shū|xiè,neutral,,abbr. for Henan province 河南 in central China,不豫|冘豫|宿豫,5
15981,豬,U+8C6C,zhū(83),traditional,猪,hog,不怕神一樣的對手，就怕豬一樣的隊友|乳豬|亥豬,3
15982,豭,U+8C6D,jiā,neutral,,boar,,
15983,豮,U+8C6E,fén,simplified,豶,gelded pig,,
15984,豯,U+8C6F,xī,neutral,,,,
15985,豰,U+8C70,bó|hù|huò|gòu,neutral,,,,
15986,豱,U+8C71,wēn,neutral,,short-headed pig,豱公,
15987,豲,U+8C72,huán,neutral,,,,
15988,豳,U+8C73,bīn|bān,neutral,,name of an ancient county in Shaanxi,,
15989,豴,U+8C74,dí,neutral,,,,
15990,豵,U+8C75,zōng,traditional,𫎆,litter of pigs,,
15991,豶,U+8C76,fén,traditional,豮,gelded pig,,
15992,豷,U+8C77,yì,neutral,,breathing of pigs,,
15993,豸,U+8C78,zhì|zhài,neutral,,worm-like invertebrate,獬豸|蟲豸|虫豸,
15994,豹,U+8C79,bào(15),neutral,,leopard,俞文豹|全豹|吃熊心豹子膽,7-9
15995,豺,U+8C7A,chái(16),neutral,,dog-like animal,豺狼|豺狼塞路|豺狼座,
15996,豻,U+8C7B,àn,neutral,,jail,,
15997,豼,U+8C7C,pí,neutral,,,,
15998,豽,U+8C7D,nà,neutral,,,,
15999,豾,U+8C7E,pī,neutral,,,,
16000,豿,U+8C7F,gǒu,neutral,,,,
16001,貀,U+8C80,nà|duò,neutral,,,,
16002,貁,U+8C81,yòu,neutral,,,,
16003,貂,U+8C82,diāo,neutral,,sable or marten (genus Martes),三貂角|水貂|狗尾續貂,
16004,貃,U+8C83,mò,neutral,,,,
16005,貄,U+8C84,sì,neutral,,,,
16006,貅,U+8C85,xiū,neutral,,"see 貔貅[pi2 xiu1], composite mythical animal (originally 貅 was the female)",貔貅,
16007,貆,U+8C86,huán|huān,neutral,,badger,,
16008,貇,U+8C87,kūn|mào|kěn,neutral,,,,
16009,貈,U+8C88,hé|mò,neutral,,,,
16010,貉,U+8C89,mò|hé|mà|háo,neutral,,raccoon dog (Nyctereutes procyonoides),一丘之貉|貉子|貉絨,
16011,貊,U+8C8A,mò|má,neutral,,name of a wild tribe,濊貊,
16012,貋,U+8C8B,àn,neutral,,,,
16013,貌,U+8C8C,mào(95)|mò,neutral,,(bound form) appearance; looks; outward form,丹霞地貌|人不可貌相|人不可貌相，海水不可斗量,5
16014,貍,U+8C8D,lí|mái|yù,neutral,,variant of 狸[li2],,
16015,貎,U+8C8E,ní,neutral,,,,
16016,貏,U+8C8F,bǐ,neutral,,,,
16017,貐,U+8C90,yǔ,neutral,,,,
16018,貑,U+8C91,jiā,neutral,,,,
16019,貒,U+8C92,tuān|tuàn,neutral,,,,
16020,貓,U+8C93,māo(62),traditional,猫,cat (CL:隻|只[zhi1]),三毛貓|三腳貓|三色貓,2
16021,貔,U+8C94,pí,neutral,,"see 貔貅[pi2 xiu1], composite mythical animal (originally 貔 was the male)",貔貅,
16022,貕,U+8C95,xī,neutral,,,,
16023,貖,U+8C96,yì,neutral,,,,
16024,貗,U+8C97,jù|yú,traditional,𫎌,,,
16025,貘,U+8C98,mò,neutral,,tapir,,
16026,貙,U+8C99,chū,traditional,䝙,(archaic) animal resembling a tiger,,
16027,貚,U+8C9A,tán,neutral,,,,
16028,貛,U+8C9B,huān,neutral,,variant of 獾[huan1],,
16029,貜,U+8C9C,jué,neutral,,(ape),,
16030,貝,U+8C9D,bèi(49),traditional,贝,surname Bei,丹貝|乾貝|亞的斯亞貝巴,4
16031,貞,U+8C9E,zhēn|zhēng,traditional,贞,chaste,三貞九烈|堅貞|堅貞不屈,7-9
16032,貟,U+8C9F,yuán,traditional,贠,old variant of 員|员[yuan2],,
16033,負,U+8CA0,fù(322)|fu(25),traditional,负,to bear,不分勝負|不負|不負眾望,3
16034,財,U+8CA1,cái(166),traditional,财,money,上海財經大學|不義之財|中央財經大學,4
16035,貢,U+8CA2,gòng(97),traditional,贡,surname Gong,子貢|朝貢|理論貢獻,6
16036,貣,U+8CA3,tè,traditional,𰷞,,,
16037,貤,U+8CA4,yì|yí,traditional,𰷠,to promote,,
16038,貥,U+8CA5,háng,neutral,,,,
16039,貦,U+8CA6,wán,traditional,𰷡,,,
16040,貧,U+8CA7,pín(115),traditional,贫,poor,一貧如洗|兒不嫌母醜，狗不嫌家貧|再生不良性貧血,6
16041,貨,U+8CA8,huò(328),traditional,货,goods,A貨|一分錢一分貨|一分錢兩分貨,4
16042,販,U+8CA9,fàn(14),traditional,贩,to deal in,二道販子|人口販運|人販子,7-9
16043,貪,U+8CAA,tān(30),traditional,贪,to have a voracious desire for,反貪|反貪污|反貪腐,7-9
16044,貫,U+8CAB,guàn(91)|wān,traditional,贯,to pierce through,一以貫之|一貫|全神貫注,6
16045,責,U+8CAC,zé(363)|zhài,traditional,责,duty,中航技進出口有限責任公司|人人有責|企業社會責任,3
16046,貭,U+8CAD,zhì,neutral,,,,
16047,貮,U+8CAE,èr,neutral,,,,
16048,貯,U+8CAF,zhù,traditional,贮,to store,積貯|貯備|貯存,7-9
16049,貰,U+8CB0,shì,traditional,贳,to borrow,,
16050,貱,U+8CB1,bì,traditional,𬥶,,,
16051,貲,U+8CB2,zī,traditional,赀,to estimate,不貲|家貲萬貫|捐貲,
16052,貳,U+8CB3,èr,traditional,贰,two (banker's anti-fraud numeral),不貳過|佐貳|約翰貳書,
16053,貴,U+8CB4,guì(180),traditional,贵,abbr. for Guizhou Province 貴州|贵州[Gui4 zhou1],不當家不知柴米貴|以和為貴|兵貴神速,1
16054,貵,U+8CB5,piǎn,neutral,,,,
16055,貶,U+8CB6,biǎn|fá,traditional,贬,to diminish,一字褒貶|女性貶抑|男性貶抑,7-9
16056,買,U+8CB7,mǎi(774),traditional,买|𧹒,to buy,一寸光陰一寸金，寸金難買寸光陰|一錘子買賣|代拿買特,1
16057,貸,U+8CB8,dài|tè,traditional,贷,to lend on interest,乞貸|低利貸款|信貸,5
16058,貹,U+8CB9,shèng,neutral,,,,
16059,貺,U+8CBA,kuàng,traditional,贶,to bestow,,
16060,費,U+8CBB,fèi(305)|bì|fú,traditional,费,surname Fei,三公消費|三公經費|上門費,3
16061,貼,U+8CBC,tiē(124),traditional,贴,to stick,乳貼|便利貼|倒貼,4
16062,貽,U+8CBD,yí,traditional,贻,to present,自貽伊戚|貽人口實|貽害,
16063,貾,U+8CBE,chí,traditional,𰷢,,,
16064,貿,U+8CBF,mào(36),traditional,贸,commerce,一般貿易|世界貿易|世界貿易中心,5
16065,賀,U+8CC0,hè(15),traditional,贺,surname He,可喜可賀|奉申賀敬|志賀氏菌病,5
16066,賁,U+8CC1,bì|fén|bēn|fèn|féi|bān|lù|pān,traditional,贲,surname Ben,賁臨|賁門,
16067,賂,U+8CC2,lù,traditional,赂,bribe,性賄賂|賄賂,7-9
16068,賃,U+8CC3,lìn,traditional,赁,to rent,租賃|自駕租賃,7-9
16069,賄,U+8CC4,huì,traditional,贿,(bound form) bribery,受賄|性賄賂|涉賄,7-9
16070,賅,U+8CC5,gāi,traditional,赅,surname Gai,言簡意賅|賅博|賅括,
16071,賆,U+8CC6,pián,neutral,,,,
16072,資,U+8CC7,zī(1455),traditional,资,resources,三資企業|不可再生資源|不變資本,3
16073,賈,U+8CC8,gǔ|jià|jiǎ,traditional,贾,surname Jia,佩魯賈|內賈德|史提夫·賈伯斯,7-9
16074,賉,U+8CC9,xù,neutral,,variant of 恤[xu4],,
16075,賊,U+8CCA,zéi(31),traditional,贼,thief; robber,上賊船|不怕賊偷就怕賊惦記|中賊鷗,7-9
16076,賋,U+8CCB,jiǎo,neutral,,,,
16077,賌,U+8CCC,gāi,neutral,,old variant of 賅|赅[gai1],,
16078,賍,U+8CCD,zāng,neutral,,,,
16079,賎,U+8CCE,jiàn,neutral,,,,
16080,賏,U+8CCF,yīng,neutral,,pearls or shells strung together,,
16081,賐,U+8CD0,xùn,neutral,,,,
16082,賑,U+8CD1,zhèn,traditional,赈,to provide relief,以工代賑|賑恤|賑捐,
16083,賒,U+8CD2,shē|shā,traditional,赊,to buy or sell on credit,賒帳|賒欠|賒賬,
16084,賓,U+8CD3,bīn(9),traditional,宾,visitor,主謂賓|主賓|主賓謂,5
16085,賔,U+8CD4,bīn,neutral,,,,
16086,賕,U+8CD5,qiú,traditional,赇,to bribe,,
16087,賖,U+8CD6,shē,neutral,,,,
16088,賗,U+8CD7,chuàn,traditional,𬥸,,,
16089,賘,U+8CD8,zāng,neutral,,,,
16090,賙,U+8CD9,zhōu,traditional,赒,to give to the needy,賙人|賙卹|賙急,
16091,賚,U+8CDA,lài,traditional,赉,to bestow,扎賚特|扎賚特旗|鎮賚,
16092,賛,U+8CDB,zàn,neutral,,variant of 贊|赞[zan4],,
16093,賜,U+8CDC,cì,traditional,赐,(bound form) to confer; to bestow; to grant,不吝賜教|厚賜|天賜,7-9
16094,賝,U+8CDD,chēn,traditional,𫎩,(gem),,
16095,賞,U+8CDE,shǎng(58),traditional,赏,to bestow (a reward),功高不賞|受賞|嘆賞,4
16096,賟,U+8CDF,tiǎn,traditional,𧹖,,,
16097,賠,U+8CE0,péi(24),traditional,赔,to compensate for loss,倒賠|假一賠十|免賠,5
16098,賡,U+8CE1,gēng,traditional,赓,(literary) to continue; to carry on,賡即|賡續,
16099,賢,U+8CE2,xián|xiàn,traditional,贤,worthy or virtuous person,任人唯賢|任賢使能|先賢,7-9
16100,賣,U+8CE3,mài(479)|mai(51),traditional,卖,to sell,一錘子買賣|以老賣老|倒買倒賣,2
16101,賤,U+8CE4,jiàn(29),traditional,贱,inexpensive,下賤|低賤|卑賤,7-9
16102,賥,U+8CE5,suì,traditional,𰷤,money and property,,
16103,賦,U+8CE6,fù,traditional,赋,poetic essay,哀江南賦|天賦|天賦異稟,7-9
16104,賧,U+8CE7,tàn,traditional,赕,(old barbarian dialects) to pay a fine in atonement,賧佛,
16105,賨,U+8CE8,cóng,traditional,𰷥,tribute paid by Han dynasty tribes,,
16106,賩,U+8CE9,cóng,neutral,,,,
16107,質,U+8CEA,zhì(902),traditional,质,character,中國地質大學|中國地質調查局|人質,4
16108,賫,U+8CEB,jī,traditional,赍,to present (a gift),,
16109,賬,U+8CEC,zhàng,traditional,账|𧹔,account,付賬|倒賬|借賬,6
16110,賭,U+8CED,dǔ(10),traditional,赌,to bet; to gamble,十賭九輸|吃喝嫖賭|對賭,6
16111,賮,U+8CEE,jìn,traditional,𰷧,farewell presents,,
16112,賯,U+8CEF,xiōng,neutral,,,,
16113,賰,U+8CF0,chǔn,traditional,䞐,,,
16114,賱,U+8CF1,yǔn,neutral,,,,
16115,賲,U+8CF2,bǎo,neutral,,,,
16116,賳,U+8CF3,zāi,neutral,,,,
16117,賴,U+8CF4,lài(28),traditional,赖,surname Lai,不賴|仰賴|依賴,6
16118,賵,U+8CF5,fèng,traditional,赗,(literary) gift (of money etc) to a bereaved family,,
16119,賶,U+8CF6,càng,traditional,𬥳,,,
16120,賷,U+8CF7,jī,neutral,,variant of 齎|赍[ji1],,
16121,賸,U+8CF8,shèng,traditional,𬂉,variant of 剩[sheng4],,
16122,賹,U+8CF9,yì|ài,traditional,𰷪,,,
16123,賺,U+8CFA,zhuàn(25)|zuàn,traditional,赚,to earn,網賺|賺取|賺吆喝,6
16124,賻,U+8CFB,fù,traditional,赙,to contribute to funeral expenses,賻儀,
16125,購,U+8CFC,gòu(41),traditional,购,to buy,代購|併購|優先承購權,4
16126,賽,U+8CFD,sài(124),traditional,赛,to compete,三個臭皮匠，賽過一個諸葛亮|三個臭皮匠，賽過諸葛亮|世錦賽,3
16127,賾,U+8CFE,zé,traditional,赜,mysterious,,
16128,賿,U+8CFF,liáo,neutral,,,,
16129,贀,U+8D00,yì,neutral,,,,
16130,贁,U+8D01,bài,neutral,,,,
16131,贂,U+8D02,chěn,neutral,,,,
16132,贃,U+8D03,wàn,traditional,𧹗,,,
16133,贄,U+8D04,zhì|zhí,traditional,贽,gifts to superiors,李贄,
16134,贅,U+8D05,zhuì,traditional,赘,(bound form) superfluous,入贅|冗贅|冗贅詞,
16135,贆,U+8D06,biāo,traditional,𰷫,,,
16136,贇,U+8D07,yūn|bīn,traditional,赟,good appearance,,
16137,贈,U+8D08,zèng,traditional,赠,to give as a present,回贈|奉贈|捐贈,5
16138,贉,U+8D09,dàn,traditional,𫎫,pay an advance,,
16139,贊,U+8D0A,zàn(162),traditional,赞,(bound form) to patronize; to support; to aid,一辭莫贊|不贊一詞|不贊成,4
16140,贋,U+8D0B,yàn,traditional,赝,variant of 贗|赝[yan4],,
16141,贌,U+8D0C,pú,neutral,,,,
16142,贍,U+8D0D,shàn|dàn,traditional,赡,to support,南贍部洲|贍養|贍養費,7-9
16143,贎,U+8D0E,wàn,neutral,,,,
16144,贏,U+8D0F,yíng,traditional,赢,to beat,共贏|打贏|贏利,3
16145,贐,U+8D10,jìn,traditional,赆,farewell presents,,
16146,贑,U+8D11,gàn,traditional,𫎬,variant of 贛|赣[Gan4],,
16147,贒,U+8D12,xián,neutral,,,,
16148,贓,U+8D13,zāng,traditional,赃|𰷭,stolen goods; loot; spoils,人贓俱獲|分贓|栽贓,7-9
16149,贔,U+8D14,bì,traditional,赑,used in 贔屭|赑屃[bi4 xi4],贔屭,
16150,贕,U+8D15,dú,traditional,𫧿,still-born chick (in unhatched egg),,
16151,贖,U+8D16,shú|shù,traditional,赎,to redeem,將功贖罪|找贖|擄人勒贖,7-9
16152,贗,U+8D17,yàn|yán,traditional,赝,false,贗品,
16153,贘,U+8D18,shǎng,neutral,,,,
16154,贙,U+8D19,xuàn,traditional,𰷮,,,
16155,贚,U+8D1A,lòng,traditional,𫎦,,,
16156,贛,U+8D1B,gòng|gàn|zhuàng,traditional,赣,abbr. for Jiangxi Province 江西省[Jiang1 xi1 Sheng3],浙贛|贛州|贛州市,
16157,贜,U+8D1C,zāng,traditional,赃|𰷭,variant of 贓|赃[zang1],,7-9
16158,贝,U+8D1D,bèi(49),simplified,貝,surname Bei,丹贝|干贝|亚的斯亚贝巴,4
16159,贞,U+8D1E,zhēn,simplified,貞,chaste,三贞九烈|坚贞|坚贞不屈,7-9
16160,负,U+8D1F,fù(322)|fu(25),simplified,負,to bear,不分胜负|不负|不负众望,3
16161,贠,U+8D20,yuán,simplified,貟,old variant of 員|员[yuan2],,
16162,贡,U+8D21,gòng(97),simplified,貢,surname Gong,子贡|朝贡|理论贡献,6
16163,财,U+8D22,cái(166),simplified,財,money,上海财经大学|不义之财|中央财经大学,4
16164,责,U+8D23,zé(363),simplified,責,duty,中航技进出口有限责任公司|人人有责|企业社会责任,3
16165,贤,U+8D24,xián,simplified,賢,worthy or virtuous person,任人唯贤|任贤使能|先贤,7-9
16166,败,U+8D25,bài(218),simplified,敗,to defeat,一败涂地|不分胜败|不败之地,4
16167,账,U+8D26,zhàng,simplified,賬,account,付账|倒账|借账,6
16168,货,U+8D27,huò(328),simplified,貨,goods,A货|一分钱一分货|一分钱两分货,4
16169,质,U+8D28,zhì(902),simplified,質,character,中国地质大学|中国地质调查局|人质,4
16170,贩,U+8D29,fàn(14),simplified,販,to deal in,二道贩子|人口贩运|人贩子,7-9
16171,贪,U+8D2A,tān(30),simplified,貪,to have a voracious desire for,反贪|反贪污|反贪腐,7-9
16172,贫,U+8D2B,pín(115),simplified,貧,poor,一贫如洗|儿不嫌母丑，狗不嫌家贫|再生不良性贫血,6
16173,贬,U+8D2C,biǎn,simplified,貶,to diminish,一字褒贬|女性贬抑|男性贬抑,7-9
16174,购,U+8D2D,gòu(41),simplified,購,to buy,代购|并购|优先承购权,4
16175,贮,U+8D2E,zhù,simplified,貯,to store,积贮|贮备|贮存,7-9
16176,贯,U+8D2F,guàn(91),simplified,貫,to pierce through,一以贯之|一贯|全神贯注,6
16177,贰,U+8D30,èr,simplified,貳,two (banker's anti-fraud numeral),不贰过|佐贰|约翰贰书,
16178,贱,U+8D31,jiàn(29),simplified,賤,inexpensive,下贱|低贱|卑贱,7-9
16179,贲,U+8D32,bēn|bì,simplified,賁,surname Ben,贲临|贲门,
16180,贳,U+8D33,shì,simplified,貰,to borrow,,
16181,贴,U+8D34,tiē(124),simplified,貼,to stick,乳贴|便利贴|倒贴,4
16182,贵,U+8D35,guì(180),simplified,貴,abbr. for Guizhou Province 貴州|贵州[Gui4 zhou1],不当家不知柴米贵|以和为贵|兵贵神速,1
16183,贶,U+8D36,kuàng,simplified,貺,to bestow,,
16184,贷,U+8D37,dài,simplified,貸,to lend on interest,乞贷|低利贷款|信贷,5
16185,贸,U+8D38,mào(36),simplified,貿,commerce,一般贸易|世界贸易|世界贸易中心,5
16186,费,U+8D39,fèi(305),simplified,費,surname Fei,三公消费|三公经费|上门费,3
16187,贺,U+8D3A,hè(15),simplified,賀,surname He,可喜可贺|奉申贺敬|志贺氏菌病,5
16188,贻,U+8D3B,yí,simplified,貽,to present,自贻伊戚|贻人口实|贻害,
16189,贼,U+8D3C,zéi(31),simplified,賊,thief; robber,上贼船|不怕贼偷就怕贼惦记|中贼鸥,7-9
16190,贽,U+8D3D,zhì,simplified,贄,gifts to superiors,李贽,
16191,贾,U+8D3E,jiǎ|gǔ,simplified,賈,surname Jia,佩鲁贾|内贾德|史提夫·贾伯斯,7-9
16192,贿,U+8D3F,huì,simplified,賄,(bound form) bribery,受贿|性贿赂|涉贿,7-9
16193,赀,U+8D40,zī,simplified,貲,to estimate,不赀|家赀万贯|捐赀,
16194,赁,U+8D41,lìn,simplified,賃,to rent,租赁|自驾租赁,7-9
16195,赂,U+8D42,lù,simplified,賂,bribe,性贿赂|贿赂,7-9
16196,赃,U+8D43,zāng,simplified,贓|贜,stolen goods; loot; spoils,人赃俱获|分赃|栽赃,7-9
16197,资,U+8D44,zī(1455),simplified,資,resources,三资企业|不可再生资源|不变资本,3
16198,赅,U+8D45,gāi,simplified,賅,surname Gai,言简意赅|赅博|赅括,
16199,赆,U+8D46,jìn,simplified,贐,farewell presents,,
16200,赇,U+8D47,qiú,simplified,賕,to bribe,,
16201,赈,U+8D48,zhèn,simplified,賑,to provide relief,以工代赈|赈恤|赈捐,
16202,赉,U+8D49,lài,simplified,賚,to bestow,扎赉特|扎赉特旗|镇赉,
16203,赊,U+8D4A,shē,simplified,賒,to buy or sell on credit,赊帐|赊欠|赊账,
16204,赋,U+8D4B,fù,simplified,賦,poetic essay,哀江南赋|天赋|天赋异禀,7-9
16205,赌,U+8D4C,dǔ(10),simplified,賭,to bet; to gamble,十赌九输|吃喝嫖赌|对赌,6
16206,赍,U+8D4D,jī,simplified,賫|齎,to present (a gift),赍恨,
16207,赎,U+8D4E,shú,simplified,贖,to redeem,将功赎罪|找赎|掳人勒赎,7-9
16208,赏,U+8D4F,shǎng(58),simplified,賞,to bestow (a reward),功高不赏|受赏|叹赏,4
16209,赐,U+8D50,cì,simplified,賜,(bound form) to confer; to bestow; to grant,不吝赐教|厚赐|天赐,7-9
16210,赑,U+8D51,bì,simplified,贔,used in 贔屭|赑屃[bi4 xi4],赑屃,
16211,赒,U+8D52,zhōu,simplified,賙,to give to the needy,赒人|赒恤|赒急,
16212,赓,U+8D53,gēng,simplified,賡,(literary) to continue; to carry on,赓即|赓续,
16213,赔,U+8D54,péi(24),simplified,賠,to compensate for loss,倒赔|假一赔十|免赔,5
16214,赕,U+8D55,dǎn,simplified,賧,(old barbarian dialects) to pay a fine in atonement,赕佛,
16215,赖,U+8D56,lài(28),simplified,賴,surname Lai,不赖|仰赖|依赖,6
16216,赗,U+8D57,fèng,simplified,賵,(literary) gift (of money etc) to a bereaved family,,
16217,赘,U+8D58,zhuì,simplified,贅,(bound form) superfluous,入赘|冗赘|冗赘词,
16218,赙,U+8D59,fù,simplified,賻,to contribute to funeral expenses,赙仪,
16219,赚,U+8D5A,zhuàn(25)|zuàn,simplified,賺,to earn,网赚|赚取|赚吆喝,6
16220,赛,U+8D5B,sài(124),simplified,賽,to compete,三个臭皮匠，赛过一个诸葛亮|三个臭皮匠，赛过诸葛亮|世锦赛,3
16221,赜,U+8D5C,zé,simplified,賾,mysterious,,
16222,赝,U+8D5D,yàn,simplified,贋|贗,variant of 贗|赝[yan4],赝品,
16223,赞,U+8D5E,zàn(162),simplified,贊,variant of 讚|赞[zan4],一辞莫赞|不赞一词|不赞成,4
